日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,インテージホールディングス,4326,情報・通信業,0.0031%,TOPIX Small 2
20250829,テイクアンドギヴ・ニーズ,4331,サービス業,0.0010%,TOPIX Small 2
20250829,東邦システムサイエンス,4333,情報・通信業,0.0013%,TOPIX Small 2
20250829,ぴあ,4337,サービス業,0.0028%,TOPIX Small 2
20250829,イオンファンタジー,4343,サービス業,0.0039%,TOPIX Small 2
20250829,ソースネクスト,4344,情報・通信業,0.0021%,TOPIX Small 2
20250829,シーティーエス,4345,サービス業,0.0030%,TOPIX Small 2
20250829,メディカルシステムネットワーク,4350,小売業,0.0011%,TOPIX Small 2
20250829,日本精化,4362,化学,0.0041%,TOPIX Small 2
20250829,扶桑化学工業,4368,化学,0.0100%,TOPIX Small 1
20250829,トリケミカル研究所,4369,化学,0.0082%,TOPIX Small 1
20250829,シンプレクス・ホールディングス,4373,情報・通信業,0.0207%,TOPIX Small 1
20250829,ＨＥＲＯＺ,4382,情報・通信業,0.0010%,TOPIX Small 2
20250829,ラクスル,4384,情報・通信業,0.0062%,TOPIX Small 1
20250829,メルカリ,4385,情報・通信業,0.0317%,TOPIX Mid400
20250829,アイ・ピー・エス,4390,情報・通信業,0.0020%,TOPIX Small 2
20250829,システムサポートホールディングス,4396,情報・通信業,0.0024%,TOPIX Small 2
20250829,ＡＤＥＫＡ,4401,化学,0.0265%,TOPIX Mid400
20250829,日油,4403,化学,0.0728%,TOPIX Mid400
20250829,ハリマ化成グループ,4410,化学,0.0016%,TOPIX Small 2
20250829,ボードルア,4413,情報・通信業,0.0019%,TOPIX Small 2
20250829,イーソル,4420,情報・通信業,0.0008%,TOPIX Small 2
20250829,ウイングアーク１ｓｔ,4432,情報・通信業,0.0080%,TOPIX Small 1
20250829,ヒト・コミュニケーションズ・ホールディングス,4433,情報・通信業,0.0010%,TOPIX Small 2
20250829,サーバーワークス,4434,情報・通信業,0.0008%,TOPIX Small 2
20250829,Ｓａｎｓａｎ,4443,情報・通信業,0.0125%,TOPIX Small 1
20250829,ギフティ,4449,情報・通信業,0.0025%,TOPIX Small 2
20250829,花王,4452,化学,0.3749%,TOPIX Large70
20250829,第一工業製薬,4461,化学,0.0046%,TOPIX Small 2
20250829,石原ケミカル,4462,化学,0.0019%,TOPIX Small 2
20250829,三洋化成工業,4471,化学,0.0061%,TOPIX Small 1
20250829,メドレー,4480,情報・通信業,0.0070%,TOPIX Small 1
20250829,ベース,4481,情報・通信業,0.0035%,TOPIX Small 1
20250829,ＪＭＤＣ,4483,情報・通信業,0.0117%,TOPIX Mid400
20250829,武田薬品工業,4502,医薬品,0.9045%,TOPIX Core30
20250829,アステラス製薬,4503,医薬品,0.3267%,TOPIX Large70
20250829,住友ファーマ,4506,医薬品,0.0312%,TOPIX Small 1
20250829,塩野義製薬,4507,医薬品,0.1945%,TOPIX Large70
20250829,日本新薬,4516,医薬品,0.0188%,TOPIX Mid400
20250829,中外製薬,4519,医薬品,0.4685%,TOPIX Large70
20250829,科研製薬,4521,医薬品,0.0144%,TOPIX Mid400
20250829,エーザイ,4523,医薬品,0.1362%,TOPIX Large70
20250829,理研ビタミン,4526,食料品,0.0052%,TOPIX Small 2
20250829,ロート製薬,4527,医薬品,0.0612%,TOPIX Mid400
20250829,小野薬品工業,4528,医薬品,0.0779%,TOPIX Mid400
20250829,久光製薬,4530,医薬品,0.0190%,TOPIX Mid400
20250829,持田製薬,4534,医薬品,0.0087%,TOPIX Small 1
20250829,参天製薬,4536,医薬品,0.0641%,TOPIX Mid400
20250829,扶桑薬品工業,4538,医薬品,0.0019%,TOPIX Small 2
20250829,ツムラ,4540,医薬品,0.0280%,TOPIX Mid400
20250829,テルモ,4543,精密機器,0.4057%,TOPIX Large70
20250829,Ｈ．Ｕ．グループホールディングス,4544,サービス業,0.0253%,TOPIX Mid400
20250829,キッセイ薬品工業,4547,医薬品,0.0155%,TOPIX Small 1
20250829,生化学工業,4548,医薬品,0.0029%,TOPIX Small 2
20250829,栄研化学,4549,医薬品,0.0089%,TOPIX Small 1
20250829,ＪＣＲファーマ,4552,医薬品,0.0048%,TOPIX Small 1
20250829,東和薬品,4553,医薬品,0.0090%,TOPIX Small 1
20250829,富士製薬工業,4554,医薬品,0.0026%,TOPIX Small 2
20250829,ゼリア新薬工業,4559,医薬品,0.0074%,TOPIX Small 1
20250829,ネクセラファーマ,4565,医薬品,0.0093%,TOPIX Small 1
20250829,第一三共,4568,医薬品,0.7450%,TOPIX Core30
20250829,杏林製薬,4569,医薬品,0.0070%,TOPIX Small 1
20250829,大幸薬品,4574,医薬品,0.0015%,TOPIX Small 2
20250829,ダイト,4577,医薬品,0.0038%,TOPIX Small 2
20250829,大塚ホールディングス,4578,医薬品,0.3976%,TOPIX Large70
20250829,ペプチドリーム,4587,医薬品,0.0167%,TOPIX Mid400
20250829,大日本塗料,4611,化学,0.0033%,TOPIX Small 2
20250829,日本ペイントホールディングス,4612,化学,0.1309%,TOPIX Mid400
20250829,関西ペイント,4613,化学,0.0456%,TOPIX Mid400
20250829,中国塗料,4617,化学,0.0184%,TOPIX Small 1
20250829,藤倉化成,4620,化学,0.0018%,TOPIX Small 2
20250829,太陽ホールディングス,4626,化学,0.0310%,TOPIX Small 1
20250829,ＤＩＣ,4631,化学,0.0280%,TOPIX Mid400
20250829,サカタインクス,4633,化学,0.0116%,TOPIX Small 1
20250829,ａｒｔｉｅｎｃｅ,4634,化学,0.0133%,TOPIX Small 1
20250829,アルプス技研,4641,サービス業,0.0057%,TOPIX Small 2
20250829,サニックスホールディングス,4651,サービス業,0.0008%,TOPIX Small 2
